st_marker_id,lat,lon,area,street_id,area_cat,st_marker_id_cat
10115W,-37.80336265167589,144.94794423530294,Queensberry,562.0,20,31
13354E,-37.81550858947077,144.9452764840512,Docklands,753.0,6,809
2343S,-37.81194106462953,144.97132157806126,Windsor,123.0,34,1525
553W,-37.80947741609681,144.96925140611305,Regency,647.0,22,2341
C2748,-37.80995805894245,144.9701960477561,Princes Theatre,894.0,19,3401
C9166,-37.79844867510848,144.96517647688998,University,655.0,31,4248
C6712,-37.80880491144351,144.95821929732745,Titles,681.0,29,3932
C6628,-37.808442754402144,144.9594691475015,Titles,681.0,29,3905
10120E,-37.803251489583005,144.94819826585282,Queensberry,562.0,20,36
3392N,-37.8099774828667,144.9662276702844,Library,926.0,14,1755
1732N,-37.81461555994989,144.97318939446689,Twin Towers,669.0,30,1356
C2776,-37.81026940930328,144.96912071717077,Princes Theatre,894.0,19,3410
4870E,-37.808619542847374,144.95797234135438,Victoria Market,1171.0,32,2133
6254N,-37.80760467000953,144.9663048493107,Regency,941.0,22,2488
C6418,-37.803541544615975,144.95104250013748,Queensberry,881.0,20,3868
5162E,-37.8026581407245,144.95691315566702,Courtney,1062.0,4,2224
13616E,-37.81957898275758,144.94370144417576,Docklands,998.0,6,923
9200N,-37.831124100903146,144.9668652164531,Southbank,597.0,24,2917
C140,-37.808660180045365,144.97179932029346,Regency,1288.0,22,3319
C9170,-37.79845224001575,144.96520917346135,University,655.0,31,4249
C6300,-37.804768746769575,144.95082582224578,Queensberry,881.0,20,3840
482E,-37.81075992621855,144.97008748428416,Princes Theatre,647.0,19,2119
6177W,-37.804111572515815,144.94316750978206,Queensberry,612.0,20,2454
12029W,-37.812929589010174,144.98300681441947,East Melbourne,511.0,8,280
9411S,-37.83006290998607,144.96661129291584,Southbank,547.0,24,3003
12286N,-37.8096938111409,144.97769291357366,Jolimont,16.0,12,376
11708E,-37.81037881251466,144.97294217330904,Jolimont,1054.0,12,124
